"Divisie","FAO Code","omschrijving","totaal","jaar","type"
"Gemeenten (VNG)","1350","Overig online",1489.35,"2016","Gemeenten"
"Gemeenten (VNG)","1360","Dataservices",23712918.15,"2016","Gemeenten"
"Unie van Waterschappen","1240","Adressen",309471.99,"2015","Waterschappen"
"Unie van Waterschappen","1250","Mutatieabonnementen",800553.46,"2015","Waterschappen"
"Unie van Waterschappen","1300","Uittreksels online (inzage)",212280.9,"2015","Waterschappen"
"Unie van Waterschappen","1301","Concernrelaties",206.7,"2015","Waterschappen"
"Unie van Waterschappen","1302","in t kort",5912.5,"2015","Waterschappen"
"Unie van Waterschappen","1303","Historie",8236.2,"2015","Waterschappen"
"Unie van Waterschappen","1304","Uitreksels EGU",2407.5,"2015","Waterschappen"
"Unie van Waterschappen","1305","Deponeringen",37.1,"2015","Waterschappen"
"Unie van Waterschappen","1306","Bedrijfsprofiel Uittreksels",40028.25,"2015","Waterschappen"
"Unie van Waterschappen","1307","Bedrijfsprofiel concernrelaties",6972.15,"2015","Waterschappen"
"Unie van Waterschappen","1330","Inzien jaarrekening",36.6,"2015","Waterschappen"
"Unie van Waterschappen","1332","VRIS",105.35,"2015","Waterschappen"
"Unie van Waterschappen","1333","Bedrijfsprofiel jaarrekening",12708.9,"2015","Waterschappen"
"Unie van Waterschappen","1340","KvK adressen internet",170.24,"2015","Waterschappen"
"Unie van Waterschappen","1350","Overig online",27.45,"2015","Waterschappen"
"Unie van Waterschappen","1360","Dataservices",7020487.5,"2015","Waterschappen"
"RDW","1240","Adressen",3239.53,"2015","ZBO"
"RDW","1300","Uittreksels online (inzage)",54595.3,"2015","ZBO"
"RDW","1301","Concernrelaties",26.5,"2015","ZBO"
"RDW","1302","in t kort",183,"2015","ZBO"
"RDW","1303","Historie",233.2,"2015","ZBO"
"RDW","1304","Uitreksels EGU",22.5,"2015","ZBO"
"RDW","1305","Deponeringen",2.65,"2015","ZBO"
"RDW","1306","Bedrijfsprofiel Uittreksels",1446.9,"2015","ZBO"
"RDW","1307","Bedrijfsprofiel concernrelaties",124.55,"2015","ZBO"
"RDW","1330","Inzien jaarrekening",9.15,"2015","ZBO"
"RDW","1332","VRIS",7.25,"2015","ZBO"
"RDW","1333","Bedrijfsprofiel jaarrekening",181.35,"2015","ZBO"
"RDW","1350","Overig online",3.05,"2015","ZBO"
"RDW","1360","Dataservices",1954982.65,"2015","ZBO"
"Provincies","1240","Adressen",3958.46,"2015","Provincies"
"Provincies","1250","Mutatieabonnementen",104652.29,"2015","Provincies"
"Provincies","1300","Uittreksels online (inzage)",17153.45,"2015","Provincies"
"Provincies","1301","Concernrelaties",1362.1,"2015","Provincies"
"Provincies","1302","in t kort",341.5,"2015","Provincies"
"Provincies","1303","Historie",318,"2015","Provincies"
"Provincies","1304","Uitreksels EGU",532.5,"2015","Provincies"
"Provincies","1305","Deponeringen",58.3,"2015","Provincies"
"Provincies","1306","Bedrijfsprofiel Uittreksels",5546.45,"2015","Provincies"
"Provincies","1307","Bedrijfsprofiel concernrelaties",3052.8,"2015","Provincies"
"Provincies","1330","Inzien jaarrekening",549,"2015","Provincies"
"Provincies","1331","Gewaarmerkte jaarrekening",22.5,"2015","Provincies"
"Provincies","1332","VRIS",431.65,"2015","Provincies"
"Provincies","1333","Bedrijfsprofiel jaarrekening",4510.4,"2015","Provincies"
"Provincies","1340","KvK adressen internet",51.56,"2015","Provincies"
"Provincies","1350","Overig online",178.3,"2015","Provincies"
"Provincies","1360","Dataservices",421664.75,"2015","Provincies"
"Ministerie van Volksgezondheid Welzijn en Sport","1240","Adressen",580683.87,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1250","Mutatieabonnementen",58555.8,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1300","Uittreksels online (inzage)",31174.6,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1301","Concernrelaties",503.5,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1302","in t kort",136,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1303","Historie",392.2,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1304","Uitreksels EGU",1425,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1305","Deponeringen",18.55,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1306","Bedrijfsprofiel Uittreksels",21777.7,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1307","Bedrijfsprofiel concernrelaties",9245.85,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1330","Inzien jaarrekening",73.2,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1332","VRIS",42.75,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1333","Bedrijfsprofiel jaarrekening",9717.2,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1340","KvK adressen internet",19.36,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1350","Overig online",65.45,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1360","Dataservices",395585.3,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1240","Adressen",1729152.07,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1250","Mutatieabonnementen",6442.51,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1300","Uittreksels online (inzage)",294637.3,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1301","Concernrelaties",10931.25,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1302","in t kort",626.5,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1303","Historie",5306.25,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1304","Uitreksels EGU",4102.5,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1305","Deponeringen",1345.4,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1306","Bedrijfsprofiel Uittreksels",150257.2,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1307","Bedrijfsprofiel concernrelaties",63011.7,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1330","Inzien jaarrekening",3422.1,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1331","Gewaarmerkte jaarrekening",375,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1332","VRIS",1608.35,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1333","Bedrijfsprofiel jaarrekening",94211.85,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1340","KvK adressen internet",1163.27,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1350","Overig online",1271.6,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1360","Dataservices",840.3,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1240","Adressen",138782.61,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1250","Mutatieabonnementen",1000,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1300","Uittreksels online (inzage)",227242.57,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1301","Concernrelaties",83504.4,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1302","in t kort",993.75,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1303","Historie",284,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1304","Uitreksels EGU",1291.9,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1305","Deponeringen",1275,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1306","Bedrijfsprofiel Uittreksels",154.25,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1307","Bedrijfsprofiel concernrelaties",25866.35,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1330","Inzien jaarrekening",9431.35,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1331","Gewaarmerkte jaarrekening",1299.3,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1332","VRIS",186.6,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1333","Bedrijfsprofiel jaarrekening",13204,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1340","KvK adressen internet",2,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1350","Overig online",263.45,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1360","Dataservices",1026125.7,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1250","Mutatieabonnementen",2410.48,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1300","Uittreksels online (inzage)",1346.2,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1301","Concernrelaties",148.4,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1302","in t kort",9.5,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1303","Historie",34.45,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1304","Uitreksels EGU",60,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1305","Deponeringen",31.8,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1306","Bedrijfsprofiel Uittreksels",1277.3,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1307","Bedrijfsprofiel concernrelaties",511.45,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1330","Inzien jaarrekening",67.1,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1331","Gewaarmerkte jaarrekening",7.5,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1332","VRIS",25.95,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1333","Bedrijfsprofiel jaarrekening",562.35,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1340","KvK adressen internet",21.72,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1350","Overig online",38,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1360","Dataservices",25496.8,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1240","Adressen",31710.23,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1250","Mutatieabonnementen",83316.17,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1300","Uittreksels online (inzage)",60218.6,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1301","Concernrelaties",1147.45,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1302","in t kort",998.5,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1303","Historie",347.15,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1304","Uitreksels EGU",1657.5,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1305","Deponeringen",26.5,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1306","Bedrijfsprofiel Uittreksels",6452.75,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1307","Bedrijfsprofiel concernrelaties",1539.65,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1330","Inzien jaarrekening",359.9,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1332","VRIS",213.6,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1333","Bedrijfsprofiel jaarrekening",2257.9,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1340","KvK adressen internet",419.76,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1350","Overig online",57.95,"2015","Ministerie"
"Ministerie van Infrastructuur & Milieu","1360","Dataservices",221998.75,"2015","Ministerie"
"Ministerie van Financien","1240","Adressen",49156.74,"2015","Ministerie"
"Ministerie van Financien","1250","Mutatieabonnementen",29138.34,"2015","Ministerie"
"Ministerie van Financien","1300","Uittreksels online (inzage)",996929.45,"2015","Ministerie"
"Ministerie van Financien","1301","Concernrelaties",22273.25,"2015","Ministerie"
"Ministerie van Financien","1302","in t kort",4105.5,"2015","Ministerie"
"Ministerie van Financien","1303","Historie",10067.6,"2015","Ministerie"
"Ministerie van Financien","1304","Uitreksels EGU",4102.5,"2015","Ministerie"
"Ministerie van Financien","1305","Deponeringen",19676.5,"2015","Ministerie"
"Ministerie van Financien","1306","Bedrijfsprofiel Uittreksels",160305.3,"2015","Ministerie"
"Ministerie van Financien","1307","Bedrijfsprofiel concernrelaties",52499.15,"2015","Ministerie"
"Ministerie van Financien","1330","Inzien jaarrekening",13401.7,"2015","Ministerie"
"Ministerie van Financien","1331","Gewaarmerkte jaarrekening",240,"2015","Ministerie"
"Ministerie van Financien","1332","VRIS",6597.9,"2015","Ministerie"
"Ministerie van Financien","1333","Bedrijfsprofiel jaarrekening",76267.75,"2015","Ministerie"
"Ministerie van Financien","1350","Overig online",33896.2,"2015","Ministerie"
"Ministerie van Economische Zaken","1240","Adressen",386825.67,"2015","Ministerie"
"Ministerie van Economische Zaken","1250","Mutatieabonnementen",90223.84,"2015","Ministerie"
"Ministerie van Economische Zaken","1300","Uittreksels online (inzage)",244494.3,"2015","Ministerie"
"Ministerie van Economische Zaken","1301","Concernrelaties",1910.65,"2015","Ministerie"
"Ministerie van Economische Zaken","1302","in t kort",2477.5,"2015","Ministerie"
"Ministerie van Economische Zaken","1303","Historie",2061.7,"2015","Ministerie"
"Ministerie van Economische Zaken","1304","Uitreksels EGU",6780,"2015","Ministerie"
"Ministerie van Economische Zaken","1305","Deponeringen",87.45,"2015","Ministerie"
"Ministerie van Economische Zaken","1306","Bedrijfsprofiel Uittreksels",42699.45,"2015","Ministerie"
"Ministerie van Economische Zaken","1307","Bedrijfsprofiel concernrelaties",6704.5,"2015","Ministerie"
"Ministerie van Economische Zaken","1330","Inzien jaarrekening",530.7,"2015","Ministerie"
"Ministerie van Economische Zaken","1331","Gewaarmerkte jaarrekening",7.5,"2015","Ministerie"
"Ministerie van Economische Zaken","1332","VRIS",885,"2015","Ministerie"
"Ministerie van Economische Zaken","1333","Bedrijfsprofiel jaarrekening",9734.05,"2015","Ministerie"
"Ministerie van Economische Zaken","1340","KvK adressen internet",50.68,"2015","Ministerie"
"Ministerie van Economische Zaken","1350","Overig online",205.5,"2015","Ministerie"
"Ministerie van Economische Zaken","1360","Dataservices",264345.7,"2015","Ministerie"
"Ministerie van Defensie","1250","Mutatieabonnementen",1327.74,"2015","Ministerie"
"Ministerie van Defensie","1300","Uittreksels online (inzage)",10003.75,"2015","Ministerie"
"Ministerie van Defensie","1301","Concernrelaties",948.7,"2015","Ministerie"
"Ministerie van Defensie","1302","in t kort",155,"2015","Ministerie"
"Ministerie van Defensie","1303","Historie",1078.55,"2015","Ministerie"
"Ministerie van Defensie","1304","Uitreksels EGU",337.5,"2015","Ministerie"
"Ministerie van Defensie","1305","Deponeringen",13.25,"2015","Ministerie"
"Ministerie van Defensie","1306","Bedrijfsprofiel Uittreksels",1401.85,"2015","Ministerie"
"Ministerie van Defensie","1307","Bedrijfsprofiel concernrelaties",455.8,"2015","Ministerie"
"Ministerie van Defensie","1330","Inzien jaarrekening",12.2,"2015","Ministerie"
"Ministerie van Defensie","1332","VRIS",41.6,"2015","Ministerie"
"Ministerie van Defensie","1333","Bedrijfsprofiel jaarrekening",608.15,"2015","Ministerie"
"Ministerie van Defensie","1350","Overig online",21.35,"2015","Ministerie"
"Ministerie van Buitenlandse Zaken","1240","Adressen",1011,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1240","Adressen",22230.43,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1250","Mutatieabonnementen",161934.58,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1300","Uittreksels online (inzage)",6805.2,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1301","Concernrelaties",143.1,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1302","in t kort",17.5,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1303","Historie",37.1,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1304","Uitreksels EGU",15,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1305","Deponeringen",45.05,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1306","Bedrijfsprofiel Uittreksels",349.8,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1307","Bedrijfsprofiel concernrelaties",127.2,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1330","Inzien jaarrekening",82.35,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1332","VRIS",33.2,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1333","Bedrijfsprofiel jaarrekening",149.65,"2015","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1350","Overig online",70.15,"2015","Ministerie"
"Gemeenten (VNG)","1240","Adressen",85694.26,"2015","Gemeenten"
"Gemeenten (VNG)","1250","Mutatieabonnementen",1166707.5,"2015","Gemeenten"
"Gemeenten (VNG)","1300","Uittreksels online (inzage)",589252.67,"2015","Gemeenten"
"Gemeenten (VNG)","1301","Concernrelaties",4573.9,"2015","Gemeenten"
"Gemeenten (VNG)","1302","in t kort",17065.45,"2015","Gemeenten"
"Gemeenten (VNG)","1303","Historie",15198.14,"2015","Gemeenten"
"Gemeenten (VNG)","1304","Uitreksels EGU",10890,"2015","Gemeenten"
"Gemeenten (VNG)","1305","Deponeringen",453.2,"2015","Gemeenten"
"Gemeenten (VNG)","1306","Bedrijfsprofiel Uittreksels",99335.42,"2015","Gemeenten"
"Gemeenten (VNG)","1307","Bedrijfsprofiel concernrelaties",18148.92,"2015","Gemeenten"
"Gemeenten (VNG)","1330","Inzien jaarrekening",1878.8,"2015","Gemeenten"
"Gemeenten (VNG)","1331","Gewaarmerkte jaarrekening",37.5,"2015","Gemeenten"
"Gemeenten (VNG)","1332","VRIS",2763.8,"2015","Gemeenten"
"Gemeenten (VNG)","1333","Bedrijfsprofiel jaarrekening",25197.4,"2015","Gemeenten"
"Gemeenten (VNG)","1340","KvK adressen internet",24962.14,"2015","Gemeenten"
"Gemeenten (VNG)","1350","Overig online",953.63,"2015","Gemeenten"
"Gemeenten (VNG)","1360","Dataservices",13593971,"2015","Gemeenten"
